"pIC50","SubFPC1","SubFPC2","SubFPC3","SubFPC5","SubFPC9","SubFPC13","SubFPC18","SubFPC49","SubFPC84","SubFPC85","SubFPC88","SubFPC100","SubFPC133","SubFPC135","SubFPC136","SubFPC137","SubFPC171","SubFPC172","SubFPC179","SubFPC180","SubFPC183","SubFPC275","SubFPC279","SubFPC287","SubFPC295","SubFPC302","SubFPC303","SubFPC307"
7.04575749056067,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,4,0,16
6.93181413825384,0,1,2,0,3,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,5,6,0,14
6.15490195998574,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,0,0,0,0,0,2,7,5,0,16
6.30102999566398,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,2,1,0,0,0,0,1,0,4,6,4,0,19
5.25963731050576,1,1,0,0,0,0,0,0,1,0,2,1,0,1,0,2,0,0,0,0,0,1,0,2,10,7,0,15
7,0,1,1,0,0,0,0,0,1,0,2,1,0,1,0,2,0,0,0,0,0,1,3,2,10,7,0,18
6.82390874094432,1,1,1,0,3,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,8,0,12
7.03151705144607,1,1,1,0,3,0,0,1,0,1,2,1,1,1,0,2,0,0,0,0,0,0,0,2,10,10,0,13
7.13667713987954,1,1,1,0,0,0,0,1,0,1,2,1,1,0,0,3,0,0,0,0,0,0,0,2,8,7,0,17
6.95860731484177,1,1,1,0,0,0,0,1,0,1,2,1,1,0,0,3,0,1,0,0,0,0,0,2,8,7,0,17
7.2839966563652,1,1,0,0,0,0,0,0,0,1,2,1,1,1,1,4,1,0,0,0,0,0,0,4,8,6,2,17
7.50863830616573,1,1,0,0,0,0,0,0,0,1,2,1,1,1,1,4,1,0,0,0,0,0,0,4,8,6,2,17
7.34678748622466,1,1,0,0,0,0,0,0,0,1,2,1,1,1,1,4,1,0,0,0,0,0,0,4,8,6,2,17
7.56863623584101,1,1,1,0,3,0,0,1,0,1,2,1,1,0,0,3,0,0,0,0,0,0,0,2,10,9,0,18
6.70333480973847,1,1,1,0,0,0,0,1,0,1,2,1,1,0,0,3,0,1,0,0,0,0,0,2,8,7,0,17
7.50863830616573,1,1,1,0,0,0,0,1,0,1,2,1,1,0,0,3,0,2,0,0,0,0,0,2,8,7,0,17
7.39794000867204,1,1,1,0,0,0,0,1,0,1,2,1,1,0,0,3,0,0,0,0,0,1,0,2,10,7,0,16
7.30980391997149,2,1,1,0,0,0,0,1,0,1,2,1,1,0,0,3,0,1,0,0,0,0,0,2,8,7,0,17
6.82390874094432,1,1,1,0,0,0,0,1,0,1,2,1,1,0,0,3,0,1,0,0,0,1,0,2,10,7,0,16
7.01322826573375,1,1,1,0,0,0,0,1,0,1,2,1,1,0,0,3,0,2,0,0,0,0,0,2,8,7,0,17
6.86327943284359,1,1,1,0,0,0,0,1,0,1,2,1,1,0,0,3,0,3,0,0,0,0,0,2,8,7,0,17
7.18045606445813,1,1,1,0,0,0,1,1,0,1,2,1,1,0,0,3,0,1,0,0,0,0,0,2,10,8,0,17
7.22914798835786,2,1,1,0,0,0,1,1,0,1,2,1,1,0,0,3,0,0,0,0,0,0,0,2,10,9,0,17
7.11918640771921,1,1,1,0,0,0,0,1,0,1,2,1,1,0,0,3,0,0,0,0,0,2,0,2,12,7,0,17
7.58502665202918,1,1,1,0,0,0,1,1,0,1,2,1,1,0,0,3,0,0,0,0,0,0,0,2,10,8,0,17
7.18045606445813,1,1,1,0,0,0,2,1,0,1,2,1,1,0,0,3,0,0,0,0,0,2,0,2,12,7,0,17
7.46852108295774,1,1,1,0,2,0,0,1,0,1,2,1,1,0,0,3,0,0,0,0,0,0,0,2,10,9,0,18
7.50863830616573,1,4,1,0,0,0,1,1,0,1,2,1,1,0,0,3,0,0,0,0,0,0,0,2,10,9,0,18
6.69897000433602,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,8,2,0,21
5.24412514432751,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,8,0,0,19
5.88605664769316,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,8,0,0,19
5.20065945054642,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,8,0,0,19
5.95860731484177,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,9,0,0,18
4.38721614328026,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,10,4,0,15
4.82102305270683,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,3,3,2,10,5,0,17
5.50863830616573,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,3,3,2,10,3,0,17
5.2518119729938,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,3,3,2,10,3,0,17
5.13667713987954,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,3,3,2,10,3,0,17
4.76447155309245,0,1,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,3,3,2,10,4,0,18
